追番,警察署,目撃(発見)年月日,目撃(発見)時間,目撃(発見)場所,状況,頭数,体長,緯度,経度
1,長門,令和6年1月4日,18:40,"長門市日置上
　　県道上",車で走行中に、道路上にいた熊を目撃したもの,1,約60cm,34.39233 ,131.13680 
2,防府,令和6年1月4日,12:30,"防府市大字下右田
　　右田小学校グランド内",グランド内に動物の足跡を発見したことから、猟友会員が現場を確認し、熊によるものと認めたもの,不明,不明,34.07751 ,131.56148 
3,山口南,令和6年1月11日,7:30,"山口市小郡上郷
　　市道上",自転車で走行中に、道路を横切った熊を目撃したもの,1,約１ｍ,34.13179 ,131.42555 
4,防府,令和6年1月16日,6:41,"防府市大字上右田
　　市道上",防犯カメラに、熊の可能性のある動物が映っていたもの,1,約80cm,34.08188 ,131.56965 
5,萩,令和6年2月10日,16:30,"萩市大字山田
　　市道上",公会堂に立ち寄った際、付近で熊を目撃したもの,2,"約２ｍ
約１ｍ",34.41128 ,131.37494 
6,美祢,令和6年2月16日,20:30,"美祢市伊佐町伊佐
　　市道上",車で走行中に、道路脇にいた熊様の動物を目撃したもの,1,約1.5ｍ,34.16156 ,131.19979 
7,小串,令和6年2月18日,18:00,"下関市豊北町大字滝部
　　市道上",車で走行中に、道路を横切る熊様の黒い動物を目撃したもの,1,約１ｍ,34.29511 ,130.93020 
8,山口南,令和6年3月7日,11:15,"山口市小郡上郷
　　空き地",草刈り作業中、駐車した自動車内で休憩していた際、山中に向かって歩いている熊を目撃したもの,1,約60cm,34.11689 ,131.38557 
9,山口南,令和6年3月11日,15:00,"山口市小郡金堀町
　　畑",徒歩で進行中に、動物が畑に顔をうずめていたのを目撃し、目撃者に向けて顔をあげたことから熊と認めたもの,1,約１ｍ,34.11171 ,131.39232 
10,萩,令和6年3月13日,13:30,"萩市大字紫福
　　県道上",車で走行中に、道路を横断する熊を目撃したもの,1,約１ｍ,34.45948 ,131.48618 
11,岩国,令和6年3月19日,12:16,"岩国市御庄
　　県道沿いの法面",車で走行中に、県道沿いの法面にいた熊を目撃したもの,1,約50cm,34.17402 ,132.16821 
12,岩国,令和6年4月5日,7:55,"岩国市錦町
　　国道沿いの法面",車で走行中に、県道沿いの法面にいた熊を目撃したもの,1,約150cm,34.29370 ,131.97089 
13,岩国,令和6年4月7日,8:00,"岩国市美和町釜ヶ原
　　市道上",歩行中、市道を横切る熊を目撃したもの,1,約90cm,34.26448 ,132.12413 
14,岩国,令和6年4月8日,14:00,"岩国市玖珂町
　　国道上",歩行中、国道を横切る熊を目撃したもの,1,約50cm,34.10777 ,132.09672 
15,岩国,令和6年4月8日,14:30,"岩国市横山
　　市道上",歩行中、市道上にいる熊を目撃したもの,1,約50cm,34.17006 ,132.17761 
16,萩,令和6年4月10日,7:40,"萩市川上
　　市道上",車で走行中、市道を横切る熊を目撃したもの,1,約100cm,34.37913 ,131.45246 
17,岩国,令和6年4月13日,18:10,"岩国市錦町広瀬
　　錦川",車で走行中、川を横切る熊を目撃したもの,1,約100cm,34.26839 ,131.97676 
18,下松,令和6年4月17日,18:34,"下松市大字下谷
　　県道上",車で走行中、県道上にいる熊を目撃したもの,1,約100cm,34.08681 ,131.88419 
19,岩国,令和6年4月19日,11:50,"岩国市美和町北中山
　　山中",山中を移動中、タケノコを食べる熊を目撃したもの,1,約100cm,34.27677 ,132.09627 
20,周南,令和6年4月25日,17:30,"周南市大字清尾
　　市道上",歩行中、市道上にいる熊を目撃したもの,1,不明,34.05746 ,131.98480 
21,周南,令和6年4月26日,12:00,"周南市大字大潮
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,不明,34.30385 ,131.76386 
22,岩国,令和6年4月26日,15:00,"玖珂郡和木町和木二丁目
　　山中",付近公園で遊戯中、山中にいる熊ようの動物を目撃したもの,1,約100cm,34.20335 ,132.22507 
23,萩,令和6年4月29日,16:00,"萩市大字明木
　　市道上",車で走行中、山中から市道に出てきた熊を目撃したもの,1,約100cm,34.34289 ,131.39042 
24,萩,令和6年4月30日,11:00,"萩市大字高佐下
　　市道上",車で走行中、市道上にいる熊を目撃したもの,2,約100cm,34.47135 ,131.58853 
25,萩,令和6年4月30日,17:35,"萩市大字須佐
　　線路上",列車で走行中、線路上にいる熊を目撃したもの,1,約100cm,34.61872 ,131.59038 
26,山口,令和6年5月1日,16:00,"山口市徳地三谷
　　県道上",車で走行中、県道を横切ろうとする熊を目撃したもの,1,約70～80cm,34.23294 ,131.67774 
27,山口南,令和6年5月3日,3:01,"山口市鋳銭司
　　県道上",バイクで走行中、県道を横切る熊ようの動物を目撃したもの,1,約40cm,34.07582 ,131.44127 
28,萩,令和6年5月6日,11:35,"萩市大字高佐上
　　市道上",徒歩で通行中、市道を横切る熊を目撃したもの,1,約120cm,34.47223 ,131.59026 
29,岩国,令和6年5月5日,12:00,"岩国市美和町佐坂
　　山中（竹藪）",竹藪において、若竹の食害を発見したことから、市職員と確認したところ、熊によるものと認めたもの,不明,不明,34.23492 ,132.11944 
30,防府,令和6年4月30日,5:57,"防府市大字久兼
　　山中",熊ようの動物が猪用の罠に向けて設置された定点カメラに撮影されていたことから通報したもの,1,不明,34.11971 ,131.63961 
31,小串,令和6年5月8日,6:45,"下関市豊北町大字神田
　　山中（竹藪）",散歩中、竹藪の中で熊ようの動物が移動しているのを目撃したもの,1,不明,34.31201 ,130.89480 
32,岩国,令和6年5月8日,9:00,"岩国市美和町北中山
　　山中（竹藪）",タケノコ掘りのため、竹藪に入ったところ、タケノコの食害及び動物の糞を発見したことから、市職員、猟友会員と確認したところ、熊によるものと認めたもの,不明,不明,34.28146 ,132.10657 
33,周南,令和6年5月9日,18:55,"周南市大字上村
　　市道上",同僚と談笑中、市道を横切る熊を目撃したもの,1,約100cm,34.09733 ,131.80190 
34,小串,令和6年5月10日,7:45,"下関市豊浦町大字室津下
　　県道上",ランニング中、県道を横切る熊を目撃したもの,1,約100cm,34.12531 ,130.88995 
35,岩国,令和6年5月10日,22:45,"岩国市由宇町
　　線路上",列車で進行中、線路上に熊ようの動物を目撃したもの,1,約100cm,34.01601 ,132.21592 
36,下松,令和6年5月11日,7:00,"下松市葉山
　　県道上",車で走行中、県道を横切る熊ようの動物を目撃したもの,1,約100cm,34.02598 ,131.90781 
37,岩国,令和6年5月11日,9:17,"岩国市由宇町神東
　　市道上",在宅中、市道を横切る熊を目撃したもの,1,約100cm,34.00107 ,132.21019 
38,柳井,令和6年5月11日,15:30,"柳井市神代
　　市道上",在宅中、市道を横切る熊を目撃したもの,1,約170cm,33.98107 ,132.18913 
39,萩,令和6年5月12日,17:30,"萩市大字福井下
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約130cm,34.43367 ,131.50715 
40,岩国,令和6年5月14日,15:35,"玖珂郡和木町瀬田
　　公園付近",歩行中、公園敷地内で熊ようの動物を目撃したもの,1,約100cm,34.19647 ,132.21434 
41,岩国,令和6年5月14日,15:30,"岩国市周東町獺越
　　県道上",車で走行中、県道上にいる熊を目撃したもの,1,約100cm,34.12103 ,131.97545 
42,岩国,令和6年5月14日,17:00,"岩国市叶木
　　市道上",車で走行中、市道上にいる熊を目撃したもの,1,約100cm,34.09573 ,132.13461 
43,萩,令和6年5月15日,11:45,"萩市大字吉部下
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.44059 ,131.55152 
44,光,令和6年5月14日,19:30,"周南市大字奥関屋
　　県道上",車で走行中、県道上を横切る熊を目撃したもの,1,約60cm,34.06716 ,131.95503 
45,光,令和6年5月15日,14:30,"周南市大字八代
　　山中",車で走行中、山の斜面に熊を目撃したもの,1,約100cm,34.09355 ,131.95649 
46,萩,令和6年5月15日,16:30,"萩市大字椿東
　　畑",在宅中、畑の中にいる熊を目撃したもの,1,約60cm,34.38533 ,131.42953 
47,山口南,令和6年5月18日,18:30,"山口市嘉川
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約80cm,34.08398 ,131.34858 
48,周南,令和6年5月18日,12:05,"周南市大字小畑
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約100cm,34.09496 ,131.74773 
49,萩,令和6年5月21日,7:55,"阿武郡阿武町大字福田下
　　県道上",車で走行中、山中に入っていく熊を目撃したもの,1,約100cm,34.54726 ,131.56239 
50,長門,令和6年5月21日,4:57,"長門市油谷津黄
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.41479 ,131.06316 
51,美祢,令和6年5月21日,14:55,"美祢市美東町絵堂
　　田んぼの中",車で走行中、田んぼの中にいる熊を目撃したもの,1,約100cm,34.28796 ,131.36852 
52,山口,令和6年5月20日,19:07,"山口市徳地鯖河内
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.18266 ,131.71780 
53,岩国,令和6年5月21日,18:27,"岩国市通津
　　市道上",散歩中、山中から市道に出てくる熊を目撃したもの,1,約60cm,34.06571 ,132.20009 
54,岩国,令和6年5月21日,18:00,"岩国市柱野
　　山中",在宅中、山中に入っていく熊を目撃したもの,1,約100cm,34.13355 ,132.14667 
55,山口,令和6年5月21日,23:00,"山口市仁保中郷
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約100cm,34.20551 ,131.57014 
56,柳井,令和6年5月22日,18:51,"熊毛郡田布施町大字上田布施
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約80cm,33.95425 ,131.98647 
